source,author,title,description,content,publishedAt,url
NPR,Alejandra Borunda,Major budget cuts proposed for the National Oceanic and Atmospheric Administration,"The agency forecasts weather, manages fisheries, and researches the world's oceans, atmosphere, and climate. The proposed budget cuts would slash the climate work entirely.","The Trump administration is proposing deep cuts at the National Oceanic and Atmospheric Administration, according to a draft budget proposal viewed by NPR.
The agency's budget for 2026 would be slas… [+6357 chars]",2025-04-11T20:52:25Z,https://www.npr.org/2025/04/11/nx-s1-5361366/major-budget-cuts-proposed-for-the-national-oceanic-and-atmospheric-administration
Wired,Laura Mallonee,One Man’s Quest to Reforest the Rio Grande Valley,The Tamaulipan thorn forest once covered 1 million acres on both sides of the US-Mexico border. Restoring even a fraction of it could help the region cope with the ravages of a warming world.,"Despite this, Dale says any restoration, no matter how small, is worth the investment. The nursery is currently growing 4,000 seedlings for four more community plots, each an acre or two in size. Sma… [+3216 chars]",2025-04-12T06:00:00Z,https://www.wired.com/story/the-rio-grande-valley-was-once-covered-in-forest-one-man-is-trying-to-bring-it-back/
Gizmodo.com,Margherita Bassi,Scientists Link Mysterious Icelandic Rocks to ‘Little’ Ice Age—and Rome’s Downfall,The unexpected discovery of Greenland rocks in Iceland hints that a centuries-long cold snap may have helped finish off the Western Roman Empire.,"Many historians agree that the fall of the Western Roman Empire, usually dated to the fall of ancient Rome in 476 CE, marked the end of classical antiquity. What they don’t always agree on, however, … [+4543 chars]",2025-04-15T14:25:08Z,https://gizmodo.com/scientists-link-mysterious-icelandic-rocks-to-little-ice-age-and-romes-downfall-2000589292
Time,Justin Worland,Trade Tensions Could Open Opportunities for Climate Action,It’s possible to envision a world where climate considerations become a key focal point in trade discussions.,"In an instant, President Trump landed the most significant blow yet to the post-war trade regime last week as he announced aggressive tariffs on friends and foes alike. Even after his significant bac… [+5379 chars]",2025-04-11T15:33:17Z,https://time.com/7276849/tariffs-trade-tensions-climate-action/
Time,Simmone Shah,"Climate Change Is Putting Everyone’s Livelihood at Stake, Says Sabrina Elba","Sabrina Elba, a Goodwill ambassador for the U.N. speaks to TIME about the importance of supporting farmers in the Global South.","For Sabrina Elba, the fight against climate change must begin in the Global South. The actress, model, and co-founder of the beauty brand SABLE Labs has seen first-hand how climate change is impactin… [+8533 chars]",2025-04-15T12:00:00Z,https://time.com/7277808/sabrina-elba-climate-change-global-south/
Gizmodo.com,Adam Kovac,Dinosaurs Weren’t Fading Before the Asteroid—We Just Suck at Finding Their Fossils,New analysis shows several families of dinosaurs were likely thriving in North America in the latter days of the dinosaur era.,"Diversity is central to one of the biggest questions paleontologists have about dinosaurs. Namely, were these ancient creatures already on the decline when that fateful asteroid came crashing out of … [+4173 chars]",2025-04-12T14:00:53Z,https://gizmodo.com/dinosaurs-werent-fading-before-the-asteroid-we-just-suck-at-finding-their-fossils-2000586879
Scientific American,The Editors,There Is No Such Thing as a Climate Haven,Climate change is everywhere. Moving to a new place because it seems less affected is a fool’s errand,"In September 2024 Hurricane Helene flooded the mountain town of Asheville, N.C., which had once been called a climate haven, a place less prone to the toll of climate change. In March 2025 fires cour… [+6185 chars]",2025-04-15T13:00:00Z,https://www.scientificamerican.com/article/there-is-no-such-thing-as-a-climate-haven/
Slashdot.org,msmash,"Pentagon Axes $5.1 Billion in IT and Consulting Contracts With Accenture, Deloitte","Defense Secretary Pete Hegseth has ordered the termination of multiple IT and consulting contracts with firms including Accenture, Deloitte, and Booz Allen Hamilton, describing them as ""wasteful spending."" 

A Department of Defense memo indicates the cuts tar…","Defense Secretary Pete Hegseth has ordered the termination of multiple IT and consulting contracts with firms including Accenture, Deloitte, and Booz Allen Hamilton, describing them as ""wasteful spen… [+870 chars]",2025-04-11T12:00:00Z,https://news.slashdot.org/story/25/04/11/0712244/pentagon-axes-51-billion-in-it-and-consulting-contracts-with-accenture-deloitte
Politicopro.com,"Chelsea Harvey, E&E News",Three NASA Climate Satellites Are Dying. There’s No Plan to Replace Them,"Scientists are increasingly concerned about the future of Earth science under President Donald Trump, as three key NASA satellites are nearing the end of their missions with no plans for replacement",CLIMATEWIRE | The looming demise of three NASA satellites has scientists bracing for the loss of climate and atmospheric data — especially since there are no plans to replace some of the specialized … [+7419 chars],2025-04-11T14:30:00Z,https://subscriber.politicopro.com/article/eenews/2025/04/02/three-nasa-satellites-are-dying-their-end-could-disrupt-climate-data-00261755
Yahoo Entertainment,Geri Mileva,Iconic American beverage brand on brink of collapse amid series of setbacks: 'Cornucopia of challenges',There are various factors hitting the industry hard.,"Shifting environmental conditions and plant diseases are posing a threat to the orange industry. Meanwhile, evolving consumer habits are reducing demand for orange juice, putting the iconic orange ju… [+3122 chars]",2025-04-11T10:15:58Z,https://www.yahoo.com/news/iconic-american-beverage-brand-brink-101558326.html
BBC News,,"Constance Marten's baby exposed to 'substantial' cold, jury hears","Marten and the baby's father, Mark Gordon, are in the middle of a retrial at the Old Bailey in London.","Daniel SandfordBBC home affairs correspondent
Constance Marten's newborn baby would have been exposed to ""substantial climatic cold stress"" in the first few days she spent camping on the South Downs… [+2626 chars]",2025-04-15T14:16:51Z,https://www.bbc.com/news/articles/c89g0nep49lo
NPR,Sarah Ventre,Jewish students at Georgetown protest detention of professor Badar Khan Suri,"More than 130 Jewish students, staff and alumni from Georgetown University signed a public letter opposing the detention of Badar Khan Suri, saying that President Trump's policies make Jews less safe.","More than 130 Jewish students, staff and alumni from Georgetown University have signed a public letter opposing the arrest and detention of researcher Badar Khan Suri, saying that President Trump's p… [+3724 chars]",2025-04-11T15:15:13Z,https://www.npr.org/2025/04/11/g-s1-59580/jewish-students-at-georgetown-protest-detention-of-professor-badar-khan-suri
New Scientist,James Woodford,Antarctic teams drill oldest ice cores yet in search of climate clues,"Ice cores that record 1.2 million years of Earth’s atmosphere are on their way to Europe to be analysed, and an Australian drilling team is hoping to go even further back in time","The camp at Dome C on the East Antarctic plateau where the Beyond EPICA team are drilling ice cores
Rob Mulvaney
More than a century ago, explorers from several countries raced to reach the globes … [+355 chars]",2025-04-14T18:00:48Z,https://www.newscientist.com/article/2474805-antarctic-teams-drill-oldest-ice-cores-yet-in-search-of-climate-clues/
Time,JENNIFER McDERMOTT and SIBI ARASU / AP,How a Meeting on Shipping Emissions Could Result in World’s First Global Carbon Tax,Many of the world's largest shipping nations will decide Friday whether to impose a tax on carbon emissions from ships.,"Many of the world's largest shipping nations will decide Friday whether to impose a tax on carbon emissions from ships.
If the 174 International Maritime Organization members present all but the Uni… [+2433 chars]",2025-04-11T09:56:25Z,https://time.com/7276725/meeting-on-shipping-emissions-could-prompt-world-first-global-carbon-tax/
NPR,Michael Copley,Climate activists were hacked. There was a link between the victims and an alleged attacker,Prosecutors say the operation was aimed at gathering information to foil lawsuits against the fossil fuel industry over damage communities have faced from climate change.,"For years, the U.S. Justice Department has worked to unravel a global hacking campaign
 that targeted prominent American climate activists. Now, public tax filings reviewed by NPR reveal an unexpect… [+15870 chars]",2025-04-15T09:00:00Z,https://www.npr.org/2025/04/15/nx-s1-5352761/hacking-climate-change-activists-exxonmobil-dcigroup
Newhampshirebulletin.com,Rob Riley,"If not wood, what? If not here, where?",The increasing political divide is weaving itself into how to best sustain public forests and maximize their contribution to society. Recent calls to...,"""Wood is naturally a part of a more circular ecological system; fossil fuel is not."" (Photo by Dana Wormald/New Hampshire Bulletin)
The increasing political divide is weaving itself into how to best… [+4974 chars]",2025-04-14T08:55:12Z,https://newhampshirebulletin.com/2025/04/14/if-not-wood-what-if-not-here-where/
Phys.Org,"European Commission, Joint Research Centre (JRC)",War worsens climate and environmental challenges in Ukraine,"While Ukraine has made significant progress in climate action since the 2010s, and undertaken efforts to align its environmental strategy with EU standards, Russia's invasion in 2022 has contributed to environmental devastation due to the release of potential…","While Ukraine has made significant progress in climate action since the 2010s, and undertaken efforts to align its environmental strategy with EU standards, Russia's invasion in 2022 has contributed … [+7697 chars]",2025-04-11T13:02:05Z,https://phys.org/news/2025-04-war-worsens-climate-environmental-ukraine.html
Science Daily,,Colombia's peatlands could be a crucial tool to fight climate change: But first we have to find them,Researchers conducted three years of extensive fieldwork to develop the first data-driven map of both newly documented and predicted peatlands across Colombia's eastern lowlands.,"UC Santa Cruz Assistant Professor of Environmental Studies Scott Winton has been wading through thick, smelly muck in the tropics for almost a decade. He wouldn't have it any other way. As a wetland … [+7485 chars]",2025-04-15T20:03:52Z,https://www.sciencedaily.com/releases/2025/04/250415160352.htm
