year,article_count,avg_tone,Temperature_Anomaly,CO2
1880,68.0,0.2570731150361493,-17.0,325.68
1881,68.0,0.2570731150361493,-9.0,325.68
1882,68.0,0.2570731150361493,-11.0,325.68
1883,68.0,0.2570731150361493,-18.0,325.68
1884,68.0,0.2570731150361493,-29.0,325.68
1885,68.0,0.2570731150361493,-34.0,325.68
1886,68.0,0.2570731150361493,-32.0,325.68
1887,68.0,0.2570731150361493,-37.0,325.68
1888,68.0,0.2570731150361493,-18.0,325.68
1889,68.0,0.2570731150361493,-11.0,325.68
1890,68.0,0.2570731150361493,-36.0,325.68
1891,68.0,0.2570731150361493,-23.0,325.68
1892,68.0,0.2570731150361493,-28.0,325.68
1893,68.0,0.2570731150361493,-32.0,325.68
1894,68.0,0.2570731150361493,-31.0,325.68
1895,68.0,0.2570731150361493,-23.0,325.68
1896,68.0,0.2570731150361493,-12.0,325.68
1897,68.0,0.2570731150361493,-12.0,325.68
1898,68.0,0.2570731150361493,-28.0,325.68
1899,68.0,0.2570731150361493,-19.0,325.68
1900,68.0,0.2570731150361493,-9.0,325.68
1901,68.0,0.2570731150361493,-16.0,325.68
1902,68.0,0.2570731150361493,-29.0,325.68
1903,68.0,0.2570731150361493,-38.0,325.68
1904,68.0,0.2570731150361493,-48.0,325.68
1905,68.0,0.2570731150361493,-27.0,325.68
1906,68.0,0.2570731150361493,-23.0,325.68
1907,68.0,0.2570731150361493,-40.0,325.68
1908,68.0,0.2570731150361493,-44.0,325.68
1909,68.0,0.2570731150361493,-50.0,325.68
1910,68.0,0.2570731150361493,-45.0,325.68
1911,68.0,0.2570731150361493,-45.0,325.68
1912,68.0,0.2570731150361493,-37.0,325.68
1913,68.0,0.2570731150361493,-36.0,325.68
1914,68.0,0.2570731150361493,-16.0,325.68
1915,68.0,0.2570731150361493,-15.0,325.68
1916,68.0,0.2570731150361493,-37.0,325.68
1917,68.0,0.2570731150361493,-47.0,325.68
1918,68.0,0.2570731150361493,-31.0,325.68
1919,68.0,0.2570731150361493,-29.0,325.68
1920,68.0,0.2570731150361493,-28.0,325.68
1921,68.0,0.2570731150361493,-20.0,325.68
1922,68.0,0.2570731150361493,-29.0,325.68
1923,68.0,0.2570731150361493,-27.0,325.68
1924,68.0,0.2570731150361493,-28.0,325.68
1925,68.0,0.2570731150361493,-23.0,325.68
1926,68.0,0.2570731150361493,-11.0,325.68
1927,68.0,0.2570731150361493,-22.0,325.68
1928,68.0,0.2570731150361493,-20.0,325.68
1929,68.0,0.2570731150361493,-37.0,325.68
1930,68.0,0.2570731150361493,-16.0,325.68
1931,68.0,0.2570731150361493,-10.0,325.68
1932,68.0,0.2570731150361493,-16.0,325.68
1933,68.0,0.2570731150361493,-29.0,325.68
1934,68.0,0.2570731150361493,-13.0,325.68
1935,68.0,0.2570731150361493,-20.0,325.68
1936,68.0,0.2570731150361493,-15.0,325.68
1937,68.0,0.2570731150361493,-3.0,325.68
1938,68.0,0.2570731150361493,-1.0,325.68
1939,68.0,0.2570731150361493,-3.0,325.68
1940,68.0,0.2570731150361493,12.0,325.68
1941,68.0,0.2570731150361493,18.0,325.68
1942,68.0,0.2570731150361493,6.0,325.68
1943,68.0,0.2570731150361493,8.0,325.68
1944,68.0,0.2570731150361493,20.0,325.68
1945,68.0,0.2570731150361493,9.0,325.68
1946,68.0,0.2570731150361493,-8.0,325.68
1947,68.0,0.2570731150361493,-3.0,325.68
1948,68.0,0.2570731150361493,-11.0,325.68
1949,68.0,0.2570731150361493,-11.0,325.68
1950,68.0,0.2570731150361493,-17.0,325.68
1951,68.0,0.2570731150361493,-7.0,325.68
1952,68.0,0.2570731150361493,1.0,325.68
1953,68.0,0.2570731150361493,8.0,325.68
1954,68.0,0.2570731150361493,-13.0,325.68
1955,68.0,0.2570731150361493,-14.0,325.68
1956,68.0,0.2570731150361493,-19.0,325.68
1957,68.0,0.2570731150361493,5.0,325.68
1958,68.0,0.2570731150361493,6.0,325.68
1959,68.0,0.2570731150361493,3.0,325.68
1960,68.0,0.2570731150361493,-3.0,325.68
1961,68.0,0.2570731150361493,6.0,325.68
1962,68.0,0.2570731150361493,3.0,325.68
1963,68.0,0.2570731150361493,5.0,325.68
1964,68.0,0.2570731150361493,-20.0,325.68
1965,68.0,0.2570731150361493,-11.0,325.68
1966,68.0,0.2570731150361493,-6.0,325.68
1967,68.0,0.2570731150361493,-2.0,325.68
1968,68.0,0.2570731150361493,-8.0,325.68
1969,68.0,0.2570731150361493,5.0,325.68
1970,68.0,0.2570731150361493,3.0,325.68
